Date,Open,High,Low,Close,Volume
2018-03-05,84.0,84.0,84.0,84.0,20500.0
2018-03-06,88.2,88.2,88.2,88.2,16000.0
2018-03-07,92.61,92.61,91.15,92.61,4040000.0
2018-03-08,94.5,97.24,94.41,97.24,3103000.0
2018-03-09,100.0,101.75,93.25,94.16,4225000.0
2018-03-12,94.41,95.75,92.51,94.02,1404500.0
2018-03-13,94.1,95.75,92.8,93.18,1210500.0
2018-03-14,93.19,93.19,88.53,88.58,2948500.0
2018-03-15,89.0,93.0,88.85,91.26,2309500.0
2018-03-16,91.5,91.88,89.8,89.97,455000.0
2018-03-19,90.5,90.8,89.2,89.55,318500.0
2018-03-20,90.1,92.4,89.05,89.37,1178000.0
2018-03-21,89.85,91.9,89.3,90.44,1116500.0
2018-03-22,90.76,91.8,90.4,90.69,1064000.0
2018-03-26,90.25,90.89,89.01,89.55,578500.0
2018-03-27,90.0,92.68,89.75,90.89,3514500.0
2018-03-28,90.98,91.99,90.0,90.11,1015500.0
2018-03-29,90.36,93.0,89.9,90.32,3277000.0
2018-03-30,90.63,91.7,90.2,90.69,1439500.0
2018-04-02,90.98,91.7,90.5,90.82,907000.0
2018-04-03,91.0,93.69,89.3,89.93,4197000.0
2018-04-04,90.01,90.82,89.66,90.16,1454000.0
2018-04-05,90.6,94.66,90.6,94.66,5804000.0
2018-04-06,97.0,99.0,96.05,98.02,4803500.0
2018-04-09,98.55,99.98,96.2,96.56,4096500.0
2018-04-10,96.25,97.98,95.3,96.93,922000.0
2018-04-11,97.25,98.3,95.99,96.18,1029000.0
2018-04-12,96.25,97.28,95.55,95.73,645500.0
2018-04-13,95.8,96.0,94.71,95.09,374000.0
2018-04-16,95.11,97.25,94.55,95.25,957000.0
2018-04-17,95.31,97.74,95.31,97.34,1325000.0
2018-04-18,99.0,102.2,98.41,102.2,3375500.0
2018-04-19,104.0,106.45,99.5,102.87,3116000.0
2018-04-20,102.77,105.98,102.35,104.11,1469000.0
2018-04-23,104.79,105.25,103.01,104.31,870500.0
2018-04-24,103.66,104.9,101.7,102.05,868000.0
2018-04-25,102.48,107.15,102.3,107.15,2079500.0
2018-04-26,109.0,109.0,102.0,102.46,2208000.0
2018-04-27,101.0,105.5,98.5,100.87,2108500.0
2018-04-30,101.99,102.9,101.0,101.55,472000.0
2018-05-02,101.6,101.66,98.5,98.84,507500.0
2018-05-03,98.75,98.9,94.6,96.41,1234000.0
2018-05-04,96.0,97.2,95.21,96.73,393500.0
2018-05-07,96.7,97.2,95.5,95.72,199500.0
2018-05-08,95.75,97.0,94.1,94.37,339500.0
2018-05-09,94.84,95.0,91.9,92.88,433500.0
2018-05-10,93.0,94.99,92.56,93.48,222500.0
2018-05-11,93.99,93.99,92.76,93.08,138000.0
2018-05-14,92.0,92.0,88.43,88.83,695500.0
2018-05-15,89.0,93.27,87.5,92.99,586000.0
2018-05-16,93.5,94.73,92.55,93.15,379000.0
2018-05-17,93.0,93.4,90.01,90.31,87500.0
2018-05-18,90.98,91.5,89.5,90.71,137000.0
2018-05-21,91.0,93.25,91.0,91.6,229500.0
2018-05-22,92.75,94.25,92.5,93.77,382000.0
2018-05-23,93.15,94.0,92.62,93.16,186500.0
2018-05-24,93.47,97.48,92.35,95.85,605500.0
2018-05-25,96.0,96.0,94.3,95.16,367000.0
2018-05-28,95.0,95.75,93.0,93.28,278500.0
2018-05-29,93.26,94.75,93.0,94.15,163500.0
2018-05-30,94.24,94.6,92.75,93.65,148500.0
2018-05-31,93.31,95.7,92.72,94.19,296500.0
2018-06-01,93.65,96.9,93.5,96.05,432500.0
2018-06-04,96.0,96.45,94.51,95.35,192500.0
2018-06-05,95.1,100.11,93.5,100.11,1892500.0
2018-06-06,102.2,103.47,98.81,99.26,2146000.0
2018-06-07,99.3,101.8,98.5,100.62,1488500.0
2018-06-11,101.2,101.8,96.59,96.98,479000.0
2018-06-12,95.11,96.7,93.0,93.47,316000.0
2018-06-13,92.92,95.3,92.92,94.82,111500.0
2018-06-14,95.0,96.2,95.0,95.18,97000.0
2018-06-19,95.18,95.8,94.07,94.45,537500.0
2018-06-20,94.5,95.0,93.7,94.07,264500.0
2018-06-21,93.07,93.9,91.5,91.75,784500.0
2018-06-22,91.89,92.2,88.5,89.52,390500.0
2018-06-25,89.41,89.49,86.25,87.2,273500.0
2018-06-26,86.86,89.45,86.86,87.04,178000.0
2018-06-27,87.48,90.5,87.48,89.87,347500.0
2018-06-28,89.8,91.1,86.25,89.52,329500.0
2018-06-29,89.51,90.35,87.25,88.79,161500.0
2018-07-02,89.8,92.2,89.6,91.57,354000.0
2018-07-03,91.0,91.97,89.7,90.04,234500.0
2018-07-04,88.5,89.0,86.0,86.99,227500.0
2018-07-05,86.6,88.77,86.0,87.1,120000.0
2018-07-06,86.5,87.99,86.25,87.18,168500.0
2018-07-09,88.11,88.69,82.83,82.9,318500.0
2018-07-10,83.0,83.9,80.5,82.8,665000.0
2018-07-11,81.56,85.9,81.56,82.44,543000.0
2018-07-12,82.1,84.0,82.0,83.44,178500.0
2018-07-13,83.16,84.5,83.1,83.28,157000.0
2018-07-16,83.1,83.5,81.0,81.75,106000.0
2018-07-17,82.0,82.59,80.5,82.14,266500.0
2018-07-18,81.01,84.49,81.0,83.94,388000.0
2018-07-19,85.0,87.4,85.0,87.04,429000.0
2018-07-20,87.08,87.08,85.05,85.38,140500.0
2018-07-23,84.56,84.56,81.5,83.54,234000.0
2018-07-24,83.9,86.55,83.9,86.34,162500.0
2018-07-26,88.4,90.65,87.0,90.65,647000.0
2018-07-27,91.99,95.18,91.1,95.18,610000.0
2018-07-30,97.5,99.93,97.1,99.93,1018000.0
2018-07-31,100.5,102.34,96.62,97.66,2244000.0
2018-08-01,97.95,102.5,97.95,101.45,722500.0
2018-08-02,102.27,102.27,96.38,96.58,693000.0
2018-08-03,92.7,93.98,91.76,92.32,1499000.0
